Año,Nombre del Jugador,País,Ubicación,Posición,Puntuación,PGA Championship Appearances,Best PGA Championship Finish,World Ranking,Age,Turned Pro,Hometown,Height,Weight
2024,Joaquin Niemann,Chile,Valhalla Golf Club,T39,-7,6,T23 (2022),91,25,2018,"Santiago, Chile",6 ft 0 in,154 lbs
Año no encontrado,Joaquin Niemann,Chile,Ubicación no encontrada,Posición no encontrada,Puntuación no encontrada,6,T23 (2022),91,25,2018,"Santiago, Chile",6 ft 0 in,154 lbs
2023,Joaquin Niemann,Chile,"Oak Hill Country Club, East Course",CUT,+8,6,T23 (2022),91,25,2018,"Santiago, Chile",6 ft 0 in,154 lbs
Año no encontrado,Joaquin Niemann,Chile,Ubicación no encontrada,Posición no encontrada,Puntuación no encontrada,6,T23 (2022),91,25,2018,"Santiago, Chile",6 ft 0 in,154 lbs
2022,Joaquin Niemann,Chile,Southern Hills Country Club,T23,+2,6,T23 (2022),91,25,2018,"Santiago, Chile",6 ft 0 in,154 lbs
Año no encontrado,Joaquin Niemann,Chile,Ubicación no encontrada,Posición no encontrada,Puntuación no encontrada,6,T23 (2022),91,25,2018,"Santiago, Chile",6 ft 0 in,154 lbs
2021,Joaquin Niemann,Chile,The Ocean Course,T30,+2,6,T23 (2022),91,25,2018,"Santiago, Chile",6 ft 0 in,154 lbs
Año no encontrado,Joaquin Niemann,Chile,Ubicación no encontrada,Posición no encontrada,Puntuación no encontrada,6,T23 (2022),91,25,2018,"Santiago, Chile",6 ft 0 in,154 lbs
2020,Joaquin Niemann,Chile,TPC Harding Park,CUT,4,6,T23 (2022),91,25,2018,"Santiago, Chile",6 ft 0 in,154 lbs
Año no encontrado,Joaquin Niemann,Chile,Ubicación no encontrada,Posición no encontrada,Puntuación no encontrada,6,T23 (2022),91,25,2018,"Santiago, Chile",6 ft 0 in,154 lbs
2019,Joaquin Niemann,Chile,Bethpage Black Course,CUT,+6,6,T23 (2022),91,25,2018,"Santiago, Chile",6 ft 0 in,154 lbs
